Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Coordonnées;Latitude;Longitude
169;Métro;BERAULT;2106827;1;;;;;Vincennes;;48.845470707583566, 2.4292051663480003;48.845470707583566;2.4292051663480003
187;Métro;CHAMPS-ELYSEES-CLEMENCEAU;1909005;1;13;;;;Paris;8.0;48.8678551, 2.3138686;48.8678551;2.3138686
271;Métro;MOUTON-DUVERNET;1131403;4;;;;;Paris;14.0;48.8312786, 2.3298657;48.8312786;2.3298657
49;RER;GENTILLY;1521999;B;;;;;Gentilly;;48.81522993471633, 2.340891132444595;48.81522993471633;2.340891132444595
170;Métro;PORTE DE CHAMPERRET;2101673;3;;;;;Paris;17.0;48.8859272, 2.2934906;48.8859272;2.2934906
189;Métro;LES AGNETTES;1890356;13;;;;;Asnières sur Seine;;48.92310377966602, 2.2862795775297826;48.92310377966602;2.2862795775297826
276;Métro;PONT MARIE;1101482;7;;;;;Paris;4.0;48.8537872, 2.3565905;48.8537872;2.3565905
50;RER;LE VESINET-LE PECQ;1436318;A;;;;;Le Vésinet;;48.89797344633644, 2.122117447472966;48.89797344633644;2.122117447472966
171;Métro;PASSY;2080548;6;;;;;Paris;16.0;48.8631709, 2.2757648;48.8631709;2.2757648
194;Métro;TUILERIES;1859552;1;;;;;Paris;1.0;48.8645194, 2.3296312;48.8645194;2.3296312
277;Métro;PIERRE ET MARIE CURIE;1100552;7;;;;;Ivry;;48.815930763056315, 2.3772672015137393;48.815930763056315;2.3772672015137393
62;RER;GIF-SUR-YVETTE;442255;B;;;;;Gif sur Yvette;;48.698196976301936, 2.136566717058361;48.698196976301936;2.136566717058361
174;Métro;MAIRIE D'IVRY;2042071;7;;;;;Ivry;;48.81052080428471, 2.384289600960821;48.81052080428471;2.384289600960821
198;Métro;LA FOURCHE;1829271;13;;;;;Paris;8.0;48.886971, 2.3258228;48.886971;2.3258228
279;Métro;FILLES DU CALVAIRE;1093673;8;;;;;Paris;3.0;48.8633194, 2.3666323;48.8633194;2.3666323
64;RER;MASSY-VERRIERES;394292;B;;;;;Massy;;48.73488814734515, 2.2740024044842477;48.73488814734515;2.2740024044842477
175;Métro;PARMENTIER;2037234;3;;;;;Paris;11.0;48.8653571, 2.3739035;48.8653571;2.3739035
233;Métro;ABBESSES;1513884;12;;;;;Paris;18.0;48.8845853, 2.3379012;48.8845853;2.3379012
282;Métro;CHEMIN VERT;1018958;8;;;;;Paris;11.0;48.8574434, 2.3681408;48.8574434;2.3681408
179;Métro;MARAICHERS;1994064;9;;;;;Paris;20.0;48.8527267, 2.4061303;48.8527267;2.4061303
241;Métro;MALESHERBES;1427143;3;;;;;Paris;17.0;48.8828327, 2.3092104;48.8828327;2.3092104
286;Métro;PICPUS;931602;6;;;;;Paris;12.0;48.8450724, 2.4010857;48.8450724;2.4010857
180;Métro;BILLANCOURT;1967532;9;;;;;Boulogne Billancourt;;48.83173796437048, 2.2374367869806067;48.83173796437048;2.2374367869806067
257;Métro;CLUNY LA SORBONNE;1261818;10;;;;;Paris;5.0;48.8510938, 2.3441587;48.8510938;2.3441587
287;Métro;TEMPLE;891858;3;;;;;Paris;2.0;48.8664946, 2.3607078;48.8664946;2.3607078
181;Métro;GARIBALDI;1965002;13;;;;;Saint Ouen;;48.906094050248626, 2.3318308379624098;48.906094050248626;2.3318308379624098
259;Métro;RASPAIL;1238357;4;6;;;;Paris;14.0;48.8389219, 2.3307369;48.8389219;2.3307369
289;Métro;QUAI DE LA RAPEE;798728;5;;;;;Paris;12.0;48.8464813, 2.3659024;48.8464813;2.3659024
190;Métro;JOURDAIN;1881321;11;;;;;Paris;20.0;48.8750944, 2.38933;48.8750944;2.38933
260;Métro;BOISSIERE;1224181;6;;;;;Paris;16.0;48.8670421, 2.2900911;48.8670421;2.2900911
299;Métro;DANUBE;400157;7bis;;;;;Paris;19.0;48.8819488, 2.393338;48.8819488;2.393338
